,Food_name,Food_Group,Descrip,ingredient,Value
113,Tuna,Fish & Shellfish,"Fish, tuna, fresh, bluefin, raw",Protein_g,23.33
114,Mackerel,Fish & Shellfish,"Fish, mackerel, Atlantic, raw",Protein_g,18.6
115,Bread(rye),Bread and Grains,"Bread, rye",Protein_g,8.5
116,Porridge,Bread and Grains,"Breakfast cereal, milk added",Protein_g,13.07
117,Rice,Bread and Grains,"Rice, white, long-grain, regular, raw, enriched",Protein_g,7.13
118,Groundnuts,Bread and Grains,"Spices, nutmeg, ground",Protein_g,5.84
119,Nuts(cashew),"Pulses, Nuts and Legumes","Nuts, cashew nuts, raw",Protein_g,18.22
120,Tofu,"Pulses, Nuts and Legumes","Tofu, silken, soft",Protein_g,4.8
121,Chocolate,Chocolate,Chocolate syrup,Protein_g,2.1
122,Egg,Dariy and Eggs,"Egg, whole, raw, fresh",Protein_g,12.56
123,Beans,"Pulses, Nuts and Legumes","Beans, yellow, mature seeds, raw",Protein_g,22.0
124,Palm oil,Oil,"Oil, palm",Protein_g,0.0
125,Canola oil,Oil,"Oil, grapeseed",Protein_g,0.0
126,Sunflower oil,Oil,"Oil, sunflower, linoleic, (approx. 65%)",Protein_g,0.0
127,Olive oil,Oil,"Oil, olive, salad or cooking",Protein_g,0.0
128,Beef(steak),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",Protein_g,27.96
129,Beef(brisket),Meats,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",Protein_g,18.12
130,Beef(flank),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, raw",Protein_g,21.57
131,Lamb(rib),Meats,"Lamb, domestic, rib, separable lean only, trimmed to 1/4"" fat, choice, raw",Protein_g,19.98
132,Lamb(loin),Meats,"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Protein_g,16.32
133,Lamb(shank),Meats,"Lamb, domestic, leg, shank half, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Protein_g,18.58
134,Pork(leg),Meats,"Pork, fresh, leg (ham), whole, separable lean and fat, raw",Protein_g,17.43
135,Pork(loin),Meats,"Pork, fresh, loin, whole, separable lean and fat, raw",Protein_g,19.74
136,Pork(shoulder),Meats,"Pork, fresh, shoulder, whole, separable lean and fat, raw",Protein_g,17.18
137,Poultry(hens),Meats,"Poultry, mechanically deboned, from mature hens, raw",Protein_g,14.72
138,Maize,Vegetables,"Cereals ready-to-eat, KASHI Simply Maize",Fat_g,3.4
139,Potatoes,Vegetables,"Potatoes, raw, skin",Fat_g,0.1
140,Cassava,Vegetables,"Cassava, raw, root vegetable, like potatoes and yams",Fat_g,0.28
141,Cabbage,Vegetables,"Cabbage, mustard, salted",Fat_g,0.1
142,Peas,Vegetables,"Peas, green, raw",Fat_g,0.4
143,Tomatoes,Vegetables,"Tomatoes, green, raw",Fat_g,0.2
144,Onion,Vegetables,"Onions, raw",Fat_g,0.1
145,Leeks,Vegetables,"Leeks, (bulb and lower leaf-portion), like scallions, raw",Fat_g,0.3
146,Eggplant,Vegetables,"Eggplant, raw",Fat_g,0.18
147,Bamboo Shoot,Vegetables,"Bamboo shoots, raw",Fat_g,0.3
148,Garlic,Vegetables,"Garlic, raw",Fat_g,0.5
149,Mushrooms,Vegetables,"Mushrooms, shiitake, raw",Fat_g,0.49
150,Okra,Vegetables,"Okra, raw",Fat_g,0.19
151,Spinach,Vegetables,"Spinach, raw",Fat_g,0.39
152,Sweetcorn,Vegetables,"Corn, sweet, white, raw",Fat_g,1.18
153,Cucumber,Vegetables,"Cucumber, with peel, raw",Fat_g,0.11
154,Lettuce,Vegetables,"Lettuce, green leaf, raw",Fat_g,0.15
155,Orange,Fruits,"Oranges, raw, all commercial varieties",Fat_g,0.12
156,Bananas,Fruits,"Bananas, raw",Fat_g,0.33
157,Apples,Fruits,"Apples, raw, with skin",Fat_g,0.17
158,Blackberries,Fruits,"Blackberries, raw",Fat_g,0.49
159,Blueberries,Fruits,"Blueberries, raw",Fat_g,0.33
160,Strawberries,Fruits,"Strawberries, raw",Fat_g,0.3
161,Grapes,Fruits,"Grapes, american type (slip skin), raw",Fat_g,0.35
162,Pomegranate,Fruits,"Pomegranates, raw",Fat_g,1.17
163,Watermelon,Fruits,"Watermelon, raw",Fat_g,0.15
164,Soymilk,Dariy and Eggs,"Soymilk, original and vanilla, unfortified",Fat_g,1.75
165,Milk,Dariy and Eggs,"Milk, filled, fluid, with lauric acid oil",Fat_g,3.4
166,Cheese,Dariy and Eggs,"Cheese, brick",Fat_g,29.68
167,Milk(sheep),Dariy and Eggs,"Milk, sheep, fluid",Fat_g,7.0
168,Milk(nut),Dariy and Eggs,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",Fat_g,23.84
169,Cream,Dariy and Eggs,"Cheese, cream",Fat_g,34.24
170,Yogurt,Dariy and Eggs,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",Fat_g,3.25
171,Beer,Beverages,"Alcoholic beverage, beer, regular, all",Fat_g,0.0
172,Wine,Beverages,"Alcoholic beverage, wine, table, all",Fat_g,0.0
173,Coffee(instant),Beverages,"Coffee, instant, regular, powder",Fat_g,0.5
174,Coca cola,Beverages,"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",Fat_g,0.05
175,Lemon Juice,Beverages,"Lemon juice, raw",Fat_g,0.24
176,Fish(farmed),Fish & Shellfish,"Fish, catfish, channel, farmed, raw",Fat_g,5.94
177,Shrimp(farmed),Fish & Shellfish,"Crustaceans, crayfish, mixed species, farmed, raw",Fat_g,0.97
178,Trout,Fish & Shellfish,"Fish, trout, rainbow, farmed, raw",Fat_g,6.18
179,Herring,Fish & Shellfish,"Fish, herring, Pacific, raw",Fat_g,13.88
180,Salmon,Fish & Shellfish,"Fish, salmon, Atlantic, wild, raw",Fat_g,6.34
181,Sardine,Fish & Shellfish,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",Fat_g,10.45
182,Tuna,Fish & Shellfish,"Fish, tuna, fresh, bluefin, raw",Fat_g,4.9
183,Mackerel,Fish & Shellfish,"Fish, mackerel, Atlantic, raw",Fat_g,13.89
184,Bread(rye),Bread and Grains,"Bread, rye",Fat_g,3.3
185,Porridge,Bread and Grains,"Breakfast cereal, milk added",Fat_g,6.6
186,Rice,Bread and Grains,"Rice, white, long-grain, regular, raw, enriched",Fat_g,0.66
187,Groundnuts,Bread and Grains,"Spices, nutmeg, ground",Fat_g,36.31
188,Nuts(cashew),"Pulses, Nuts and Legumes","Nuts, cashew nuts, raw",Fat_g,43.85
189,Tofu,"Pulses, Nuts and Legumes","Tofu, silken, soft",Fat_g,2.7
190,Chocolate,Chocolate,Chocolate syrup,Fat_g,1.13
191,Egg,Dariy and Eggs,"Egg, whole, raw, fresh",Fat_g,9.51
192,Beans,"Pulses, Nuts and Legumes","Beans, yellow, mature seeds, raw",Fat_g,2.6
193,Palm oil,Oil,"Oil, palm",Fat_g,100.0
194,Canola oil,Oil,"Oil, grapeseed",Fat_g,100.0
195,Sunflower oil,Oil,"Oil, sunflower, linoleic, (approx. 65%)",Fat_g,100.0
196,Olive oil,Oil,"Oil, olive, salad or cooking",Fat_g,100.0
197,Beef(steak),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",Fat_g,6.48
198,Beef(brisket),Meats,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",Fat_g,22.15
199,Beef(flank),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, raw",Fat_g,5.47
200,Lamb(rib),Meats,"Lamb, domestic, rib, separable lean only, trimmed to 1/4"" fat, choice, raw",Fat_g,9.23
201,Lamb(loin),Meats,"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Fat_g,26.63
202,Lamb(shank),Meats,"Lamb, domestic, leg, shank half, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Fat_g,13.49
203,Pork(leg),Meats,"Pork, fresh, leg (ham), whole, separable lean and fat, raw",Fat_g,18.87
204,Pork(loin),Meats,"Pork, fresh, loin, whole, separable lean and fat, raw",Fat_g,12.58
205,Pork(shoulder),Meats,"Pork, fresh, shoulder, whole, separable lean and fat, raw",Fat_g,17.99
206,Poultry(hens),Meats,"Poultry, mechanically deboned, from mature hens, raw",Fat_g,19.98
207,Maize,Vegetables,"Cereals ready-to-eat, KASHI Simply Maize",Carb_g,83.3
208,Potatoes,Vegetables,"Potatoes, raw, skin",Carb_g,12.44
209,Cassava,Vegetables,"Cassava, raw, root vegetable, like potatoes and yams",Carb_g,38.06
210,Cabbage,Vegetables,"Cabbage, mustard, salted",Carb_g,5.63
211,Peas,Vegetables,"Peas, green, raw",Carb_g,14.45
212,Tomatoes,Vegetables,"Tomatoes, green, raw",Carb_g,5.1
213,Onion,Vegetables,"Onions, raw",Carb_g,9.34
214,Leeks,Vegetables,"Leeks, (bulb and lower leaf-portion), like scallions, raw",Carb_g,14.15
215,Eggplant,Vegetables,"Eggplant, raw",Carb_g,5.88
216,Bamboo Shoot,Vegetables,"Bamboo shoots, raw",Carb_g,5.2
217,Garlic,Vegetables,"Garlic, raw",Carb_g,33.06
218,Mushrooms,Vegetables,"Mushrooms, shiitake, raw",Carb_g,6.79
219,Okra,Vegetables,"Okra, raw",Carb_g,7.45
220,Spinach,Vegetables,"Spinach, raw",Carb_g,3.63
221,Sweetcorn,Vegetables,"Corn, sweet, white, raw",Carb_g,19.02
222,Cucumber,Vegetables,"Cucumber, with peel, raw",Carb_g,3.63
223,Lettuce,Vegetables,"Lettuce, green leaf, raw",Carb_g,2.87
224,Orange,Fruits,"Oranges, raw, all commercial varieties",Carb_g,11.75
225,Bananas,Fruits,"Bananas, raw",Carb_g,22.84
226,Apples,Fruits,"Apples, raw, with skin",Carb_g,13.81
227,Blackberries,Fruits,"Blackberries, raw",Carb_g,9.61
228,Blueberries,Fruits,"Blueberries, raw",Carb_g,14.49
229,Strawberries,Fruits,"Strawberries, raw",Carb_g,7.68
230,Grapes,Fruits,"Grapes, american type (slip skin), raw",Carb_g,17.15
231,Pomegranate,Fruits,"Pomegranates, raw",Carb_g,18.7
232,Watermelon,Fruits,"Watermelon, raw",Carb_g,7.55
233,Soymilk,Dariy and Eggs,"Soymilk, original and vanilla, unfortified",Carb_g,6.28
234,Milk,Dariy and Eggs,"Milk, filled, fluid, with lauric acid oil",Carb_g,4.74
235,Cheese,Dariy and Eggs,"Cheese, brick",Carb_g,2.79
236,Milk(sheep),Dariy and Eggs,"Milk, sheep, fluid",Carb_g,5.36
237,Milk(nut),Dariy and Eggs,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",Carb_g,5.54
238,Cream,Dariy and Eggs,"Cheese, cream",Carb_g,4.07
239,Yogurt,Dariy and Eggs,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",Carb_g,4.66
240,Beer,Beverages,"Alcoholic beverage, beer, regular, all",Carb_g,3.55
241,Wine,Beverages,"Alcoholic beverage, wine, table, all",Carb_g,2.72
242,Coffee(instant),Beverages,"Coffee, instant, regular, powder",Carb_g,75.4
243,Coca cola,Beverages,"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",Carb_g,7.84
244,Lemon Juice,Beverages,"Lemon juice, raw",Carb_g,6.9
245,Fish(farmed),Fish & Shellfish,"Fish, catfish, channel, farmed, raw",Carb_g,0.0
246,Shrimp(farmed),Fish & Shellfish,"Crustaceans, crayfish, mixed species, farmed, raw",Carb_g,0.0
247,Trout,Fish & Shellfish,"Fish, trout, rainbow, farmed, raw",Carb_g,0.0
248,Herring,Fish & Shellfish,"Fish, herring, Pacific, raw",Carb_g,0.0
249,Salmon,Fish & Shellfish,"Fish, salmon, Atlantic, wild, raw",Carb_g,0.0
250,Sardine,Fish & Shellfish,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",Carb_g,0.54
251,Tuna,Fish & Shellfish,"Fish, tuna, fresh, bluefin, raw",Carb_g,0.0
252,Mackerel,Fish & Shellfish,"Fish, mackerel, Atlantic, raw",Carb_g,0.0
253,Bread(rye),Bread and Grains,"Bread, rye",Carb_g,48.3
254,Porridge,Bread and Grains,"Breakfast cereal, milk added",Carb_g,71.05
255,Rice,Bread and Grains,"Rice, white, long-grain, regular, raw, enriched",Carb_g,79.95
256,Groundnuts,Bread and Grains,"Spices, nutmeg, ground",Carb_g,49.29
257,Nuts(cashew),"Pulses, Nuts and Legumes","Nuts, cashew nuts, raw",Carb_g,30.19
258,Tofu,"Pulses, Nuts and Legumes","Tofu, silken, soft",Carb_g,2.9
259,Chocolate,Chocolate,Chocolate syrup,Carb_g,65.1
260,Egg,Dariy and Eggs,"Egg, whole, raw, fresh",Carb_g,0.72
261,Beans,"Pulses, Nuts and Legumes","Beans, yellow, mature seeds, raw",Carb_g,60.7
262,Palm oil,Oil,"Oil, palm",Carb_g,0.0
263,Canola oil,Oil,"Oil, grapeseed",Carb_g,0.0
264,Sunflower oil,Oil,"Oil, sunflower, linoleic, (approx. 65%)",Carb_g,0.0
265,Olive oil,Oil,"Oil, olive, salad or cooking",Carb_g,0.0
266,Beef(steak),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",Carb_g,0.0
267,Beef(brisket),Meats,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",Carb_g,0.12
268,Beef(flank),Meats,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, raw",Carb_g,0.0
269,Lamb(rib),Meats,"Lamb, domestic, rib, separable lean only, trimmed to 1/4"" fat, choice, raw",Carb_g,0.0
270,Lamb(loin),Meats,"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Carb_g,0.0
271,Lamb(shank),Meats,"Lamb, domestic, leg, shank half, separable lean and fat, trimmed to 1/4"" fat, choice, raw",Carb_g,0.0
272,Pork(leg),Meats,"Pork, fresh, leg (ham), whole, separable lean and fat, raw",Carb_g,0.0
273,Pork(loin),Meats,"Pork, fresh, loin, whole, separable lean and fat, raw",Carb_g,0.0
274,Pork(shoulder),Meats,"Pork, fresh, shoulder, whole, separable lean and fat, raw",Carb_g,0.0
275,Poultry(hens),Meats,"Poultry, mechanically deboned, from mature hens, raw",Carb_g,0.0
276,Maize,Vegetables,"Cereals ready-to-eat, KASHI Simply Maize",Sugar_g,22.1
277,Potatoes,Vegetables,"Potatoes, raw, skin",Sugar_g,0.0
278,Cassava,Vegetables,"Cassava, raw, root vegetable, like potatoes and yams",Sugar_g,1.7
279,Cabbage,Vegetables,"Cabbage, mustard, salted",Sugar_g,1.4
280,Peas,Vegetables,"Peas, green, raw",Sugar_g,5.67
281,Tomatoes,Vegetables,"Tomatoes, green, raw",Sugar_g,4.0
282,Onion,Vegetables,"Onions, raw",Sugar_g,4.24
283,Leeks,Vegetables,"Leeks, (bulb and lower leaf-portion), like scallions, raw",Sugar_g,3.9
284,Eggplant,Vegetables,"Eggplant, raw",Sugar_g,3.53
285,Bamboo Shoot,Vegetables,"Bamboo shoots, raw",Sugar_g,3.0
286,Garlic,Vegetables,"Garlic, raw",Sugar_g,1.0
287,Mushrooms,Vegetables,"Mushrooms, shiitake, raw",Sugar_g,2.38
288,Okra,Vegetables,"Okra, raw",Sugar_g,1.48
289,Spinach,Vegetables,"Spinach, raw",Sugar_g,0.42
290,Sweetcorn,Vegetables,"Corn, sweet, white, raw",Sugar_g,3.22
291,Cucumber,Vegetables,"Cucumber, with peel, raw",Sugar_g,1.67
292,Lettuce,Vegetables,"Lettuce, green leaf, raw",Sugar_g,0.78
293,Orange,Fruits,"Oranges, raw, all commercial varieties",Sugar_g,9.35
294,Bananas,Fruits,"Bananas, raw",Sugar_g,12.23
295,Apples,Fruits,"Apples, raw, with skin",Sugar_g,10.39
296,Blackberries,Fruits,"Blackberries, raw",Sugar_g,4.88
297,Blueberries,Fruits,"Blueberries, raw",Sugar_g,9.96
298,Strawberries,Fruits,"Strawberries, raw",Sugar_g,4.89
299,Grapes,Fruits,"Grapes, american type (slip skin), raw",Sugar_g,16.25
300,Pomegranate,Fruits,"Pomegranates, raw",Sugar_g,13.67
301,Watermelon,Fruits,"Watermelon, raw",Sugar_g,6.2
302,Soymilk,Dariy and Eggs,"Soymilk, original and vanilla, unfortified",Sugar_g,3.99
303,Milk,Dariy and Eggs,"Milk, filled, fluid, with lauric acid oil",Sugar_g,4.74
304,Cheese,Dariy and Eggs,"Cheese, brick",Sugar_g,0.51
305,Milk(sheep),Dariy and Eggs,"Milk, sheep, fluid",Sugar_g,0.0
306,Milk(nut),Dariy and Eggs,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",Sugar_g,3.34
307,Cream,Dariy and Eggs,"Cheese, cream",Sugar_g,3.21
308,Yogurt,Dariy and Eggs,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",Sugar_g,4.66
309,Beer,Beverages,"Alcoholic beverage, beer, regular, all",Sugar_g,0.0
310,Wine,Beverages,"Alcoholic beverage, wine, table, all",Sugar_g,0.79
311,Coffee(instant),Beverages,"Coffee, instant, regular, powder",Sugar_g,0.0
312,Coca cola,Beverages,"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",Sugar_g,6.11
313,Lemon Juice,Beverages,"Lemon juice, raw",Sugar_g,2.52
314,Fish(farmed),Fish & Shellfish,"Fish, catfish, channel, farmed, raw",Sugar_g,0.0
315,Shrimp(farmed),Fish & Shellfish,"Crustaceans, crayfish, mixed species, farmed, raw",Sugar_g,0.0
316,Trout,Fish & Shellfish,"Fish, trout, rainbow, farmed, raw",Sugar_g,0.0
317,Herring,Fish & Shellfish,"Fish, herring, Pacific, raw",Sugar_g,0.0
