173,Maize (Meal),1.1,Transport,0.1
174,Barley (Beer),1.1,Transport,0.0
175,Oatmeal,1.6,Transport,0.1
176,Rice,4.0,Transport,0.1
177,Potatoes,0.3,Transport,0.1
178,Cassava,0.9,Transport,0.1
179,Cane Sugar,2.6,Transport,0.8
180,Beet Sugar,1.4,Transport,0.6
181,Other Pulses,1.6,Transport,0.1
182,Peas,0.8,Transport,0.1
183,Nuts,0.2,Transport,0.1
184,Groundnuts,2.4,Transport,0.1
185,Soymilk,1.0,Transport,0.1
186,Tofu,3.0,Transport,0.2
187,Soybean Oil,6.0,Transport,0.3
188,Palm Oil,7.6,Transport,0.2
189,Sunflower Oil,3.5,Transport,0.2
190,Rapeseed Oil,3.7,Transport,0.2
191,Olive Oil,6.0,Transport,0.5
192,Tomatoes,1.4,Transport,0.2
193,Onions & Leeks,0.3,Transport,0.1
194,Root Vegetables,0.3,Transport,0.1
195,Brassicas,0.4,Transport,0.1
196,Other Vegetables,0.5,Transport,0.2
197,Citrus Fruit,0.3,Transport,0.1
198,Bananas,0.8,Transport,0.3
199,Apples,0.3,Transport,0.1
200,Berries & Grapes,1.1,Transport,0.2
201,Wine,1.4,Transport,0.1
202,Other Fruit,0.7,Transport,0.2
203,Coffee,16.5,Transport,0.1
204,Dark Chocolate,18.7,Transport,0.1
205,Beef (beef herd),59.6,Transport,0.3
206,Beef (dairy herd),21.1,Transport,0.4
207,Lamb & Mutton,24.5,Transport,0.5
208,Pig Meat,7.2,Transport,0.3
209,Poultry Meat,6.1,Transport,0.3
210,Milk,2.8,Transport,0.1
211,Cheese,21.2,Transport,0.1
212,Eggs,4.5,Transport,0.1
213,Fish (farmed),5.1,Transport,0.1
214,Shrimps (farmed),11.8,Transport,0.2
215,Wheat & Rye (Bread),1.4,Packging,0.1
216,Maize (Meal),1.1,Packging,0.1
217,Barley (Beer),1.1,Packging,0.5
218,Oatmeal,1.6,Packging,0.1
219,Rice,4.0,Packging,0.1
220,Potatoes,0.3,Packging,0.0
221,Cassava,0.9,Packging,0.0
222,Cane Sugar,2.6,Packging,0.1
223,Beet Sugar,1.4,Packging,0.1
224,Other Pulses,1.6,Packging,0.4
225,Peas,0.8,Packging,0.0
226,Nuts,0.2,Packging,0.1
227,Groundnuts,2.4,Packging,0.1
228,Soymilk,1.0,Packging,0.1
229,Tofu,3.0,Packging,0.2
230,Soybean Oil,6.0,Packging,0.8
231,Palm Oil,7.6,Packging,0.9
232,Sunflower Oil,3.5,Packging,0.9
233,Rapeseed Oil,3.7,Packging,0.8
234,Olive Oil,6.0,Packging,0.9
235,Tomatoes,1.4,Packging,0.1
236,Onions & Leeks,0.3,Packging,0.0
237,Root Vegetables,0.3,Packging,0.0
238,Brassicas,0.4,Packging,0.0
239,Other Vegetables,0.5,Packging,0.0
240,Citrus Fruit,0.3,Packging,0.0
241,Bananas,0.8,Packging,0.1
242,Apples,0.3,Packging,0.0
243,Berries & Grapes,1.1,Packging,0.2
244,Wine,1.4,Packging,0.7
245,Other Fruit,0.7,Packging,0.0
246,Coffee,16.5,Packging,1.6
247,Dark Chocolate,18.7,Packging,0.4
248,Beef (beef herd),59.6,Packging,0.2
249,Beef (dairy herd),21.1,Packging,0.3
250,Lamb & Mutton,24.5,Packging,0.3
251,Pig Meat,7.2,Packging,0.3
252,Poultry Meat,6.1,Packging,0.2
253,Milk,2.8,Packging,0.1
254,Cheese,21.2,Packging,0.2
255,Eggs,4.5,Packging,0.2
256,Fish (farmed),5.1,Packging,0.1
257,Shrimps (farmed),11.8,Packging,0.3
258,Wheat & Rye (Bread),1.4,Retail,0.1
259,Maize (Meal),1.1,Retail,0.0
260,Barley (Beer),1.1,Retail,0.3
261,Oatmeal,1.6,Retail,0.0
262,Rice,4.0,Retail,0.1
263,Potatoes,0.3,Retail,0.0
264,Cassava,0.9,Retail,0.0
265,Cane Sugar,2.6,Retail,0.0
266,Beet Sugar,1.4,Retail,0.0
267,Other Pulses,1.6,Retail,0.0
268,Peas,0.8,Retail,0.0
269,Nuts,0.2,Retail,0.0
270,Groundnuts,2.4,Retail,0.0
271,Soymilk,1.0,Retail,0.3
272,Tofu,3.0,Retail,0.3
273,Soybean Oil,6.0,Retail,0.0
274,Palm Oil,7.6,Retail,0.0
275,Sunflower Oil,3.5,Retail,0.0
276,Rapeseed Oil,3.7,Retail,0.0
277,Olive Oil,6.0,Retail,0.0
278,Tomatoes,1.4,Retail,0.0
279,Onions & Leeks,0.3,Retail,0.0
280,Root Vegetables,0.3,Retail,0.0
281,Brassicas,0.4,Retail,0.0
282,Other Vegetables,0.5,Retail,0.0
283,Citrus Fruit,0.3,Retail,0.0
284,Bananas,0.8,Retail,0.0
285,Apples,0.3,Retail,0.0
286,Berries & Grapes,1.1,Retail,0.0
287,Wine,1.4,Retail,0.0
288,Other Fruit,0.7,Retail,0.0
289,Coffee,16.5,Retail,0.1
290,Dark Chocolate,18.7,Retail,0.0
291,Beef (beef herd),59.6,Retail,0.2
292,Beef (dairy herd),21.1,Retail,0.2
293,Lamb & Mutton,24.5,Retail,0.2
294,Pig Meat,7.2,Retail,0.2
295,Poultry Meat,6.1,Retail,0.2
296,Milk,2.8,Retail,0.3
297,Cheese,21.2,Retail,0.3
298,Eggs,4.5,Retail,0.0
299,Fish (farmed),5.1,Retail,0.0
300,Shrimps (farmed),11.8,Retail,0.2
