Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bahrain,575.719,1771.161,1591.4779999999998,1195.442,1598.8120000000001,1228.445,649.059,1004.758,1103.767,1272.4489999999998,2592.569,3039.9429999999998,3681.6679999999997,5522.5019999999995,5405.158,5753.523,6574.931,7469.679,7766.706,8133.406,7887.717,8525.775,9838.561,8228.748,9207.837,10194.26,11012.001,11430.038999999999,12163.438999999998,11738.067,12427.463,11877.413,10901.991000000002,14642.331,14789.011,14818.347,15621.42,17319.241,18404.673,18019.638,18819.043999999998,14099.615,15889.111,16802.194,17953.631999999998,19878.807,19493.772,26846.107000000004,29768.706000000002,28217.565,29266.327,28848.289,27553.838,31407.855,31367.517999999996,32892.99,31693.881
"Bahamas, The",410.704,546.383,726.066,707.7310000000001,1085.432,1316.453,1092.766,1705.155,1631.815,1745.4920000000002,2574.234,6732.611999999999,6490.59,7873.049,7389.005,8254.417,6464.920999999999,9717.55,6607.934,6930.63,7990.393,2801.5879999999997,2262.5389999999998,2016.85,1855.5020000000002,1510.8039999999999,1411.795,1422.796,1540.14,1947.1770000000001,1840.8339999999998,1844.501,1851.835,1760.16,1749.1589999999999,1741.825,1730.8239999999998,1529.139,1910.507,1954.511,1950.844,1870.17,1928.842,1965.5120000000002,1972.846,1829.8329999999999,1778.495,1796.83,2361.548,1606.146,2387.217,1800.497,1906.84,2871.261,2350.547,2016.85,1785.829
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15053.035,12603.479,3230.627,3428.645,4257.387,8393.763,10593.963,10377.61,13787.92,13362.548,14301.3,14488.317,15610.419,16204.473,17564.93,17652.938000000002,20153.832,20703.881999999998,21275.933999999997,23886.838,22258.69,21921.326,19424.099,18569.688000000002,21847.986
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87417.61300000001,76768.645,65056.247,60773.191,60164.469000000005,59555.747,58099.948,56112.434,53787.556,52760.795999999995,52405.097,53530.865999999995,58158.62,59167.045,62071.309,60523.835,63105.403,61220.565,63043.064000000006,64062.49,62969.724,63054.065,62801.042,58279.630999999994,58279.630999999994
Belize,44.004,36.67,69.673,62.339,84.34100000000001,84.34100000000001,80.67399999999999,121.01100000000001,102.676,135.679,121.01100000000001,143.013,157.681,146.68,154.014,176.016,176.016,198.018,216.35299999999998,209.019,190.68400000000003,183.35,172.34900000000002,172.34900000000002,172.34900000000002,190.68400000000003,205.352,227.354,249.356,300.694,311.695,407.037,355.699,377.70099999999996,374.034,377.70099999999996,308.028,388.702,370.36699999999996,348.365,396.036,447.374,432.70599999999996,432.70599999999996,392.369,421.705,443.707,476.71,436.37300000000005,586.72,539.049,601.388,476.71,513.38,495.045,579.386,568.385
Bermuda,157.681,176.016,157.681,150.347,201.685,179.683,201.685,212.68599999999998,223.687,198.018,227.354,231.021,253.023,425.37199999999996,443.707,458.375,469.376,454.708,425.37199999999996,462.042,436.37300000000005,388.702,396.036,451.041,443.707,451.041,421.705,572.052,645.3919999999999,781.071,502.379,539.049,462.042,539.049,531.715,531.715,528.048,524.381,520.714,513.38,517.047,528.048,557.384,561.0509999999999,583.053,583.053,652.726,729.7330000000001,649.059,476.71,608.722,443.707,366.7,509.713,649.059,557.384,612.389
Bolivia,1004.758,1041.428,1100.1,1213.777,1481.4679999999998,1510.8039999999999,1690.487,1892.172,2178.198,2548.565,2486.226,3061.945,3571.658,3457.9809999999998,3516.653,4059.369,4580.083,4481.0740000000005,5027.457,4737.764,4668.090999999999,4792.769,4349.062,4290.39,4041.034,4125.375,3777.01,4030.033,4308.725,4994.454000000001,5757.19,6006.545999999999,6655.605,7829.045,8635.785,9849.562,9827.56,10942.328000000001,10989.999,10443.616,11067.006000000001,8621.117,10395.945,11092.675,11114.677,12185.441,15056.702,12332.121000000001,13237.87,13872.261,15188.714,16299.815,18819.043999999998,19149.074,20329.848,20073.158,21605.964
Brazil,46908.264,49203.806,53695.880999999994,55617.389,56735.824,56398.46,64304.512,66193.017,77421.371,84315.33099999999,93761.523,102635.663,114362.729,132463.041,143456.707,151164.741,155154.437,162961.48,176925.41600000003,188322.452,187090.34,171806.28399999999,172176.651,166632.147,168806.678,181248.80899999998,198883.41199999998,207530.198,209363.698,214024.455,208886.988,219330.604,220705.729,230738.641,242154.012,258347.484,284782.887,300547.32,312289.054,320173.104,327983.814,337433.67299999995,332266.87,321621.56899999996,337826.042,347308.904,347668.27,363212.68299999996,387631.23600000003,367147.374,419754.156,439412.94299999997,470028.726,503677.11799999996,533530.165,504388.516,462298.69
Barbados,172.34900000000002,194.351,260.357,190.68400000000003,179.683,205.352,267.691,337.36400000000003,440.04,480.37699999999995,429.039,484.04400000000004,502.379,480.37699999999995,491.37800000000004,568.385,531.715,590.387,630.724,601.388,674.7280000000001,685.7289999999999,645.3919999999999,685.7289999999999,748.068,847.077,916.75,942.419,946.086,990.09,1070.764,1202.776,975.422,1100.1,740.7339999999999,806.74,825.075,891.081,1100.1,1162.4389999999999,1151.438,1188.108,1202.776,1254.114,1279.7830000000001,1334.7879999999998,1360.457,1360.457,1620.8139999999999,1613.48,1477.8010000000002,1529.139,1470.467,1448.465,1254.114,1254.114,1276.116
Brunei Darussalam,333.69699999999995,304.361,370.36699999999996,355.699,341.031,333.69699999999995,491.37800000000004,440.04,429.039,487.711,8210.413,7517.35,9460.86,9981.574,8184.744000000001,7080.977,6024.880999999999,6395.2480000000005,9541.534,7440.343000000001,6882.959,1470.467,2093.857,2706.2459999999996,1917.8410000000001,2596.236,2299.209,3318.635,5716.853,6347.576999999999,6193.563,5309.816,5214.474,4968.785,4693.76,4789.102,4869.776,5060.46,5269.479,3909.022,4712.095,4506.7429999999995,4378.398,4591.084,4998.121,5005.455,4862.442,8415.765,9119.829,7862.048000000001,8203.079,9695.548,9666.212,7803.376,9053.823,7073.643,7664.03
